iter	Passed	Remaining
0	142	142182
1	145	72573
2	148	49378
3	151	37679
4	154	30708
5	156	25848
6	158	22493
7	161	19970
8	163	18026
9	166	16475
10	169	15223
11	170	14064
12	173	13202
13	175	12357
14	178	11709
15	181	11146
16	182	10572
17	185	10131
18	188	9743
19	190	9328
20	192	8996
21	195	8708
22	198	8434
23	201	8192
24	204	7970
25	207	7754
26	209	7562
27	211	7346
28	213	7146
29	215	6959
30	217	6812
31	221	6694
32	224	6577
33	227	6462
34	230	6359
35	234	6270
36	238	6204
37	241	6117
38	245	6039
39	248	5955
40	250	5860
41	254	5794
42	257	5734
43	262	5706
44	263	5602
45	266	5521
46	268	5442
47	270	5374
48	273	5315
49	276	5248
50	279	5197
51	281	5139
52	283	5072
53	286	5027
54	289	4972
55	292	4923
56	295	4880
57	297	4838
58	300	4789
59	302	4741
60	305	4706
61	306	4642
62	308	4589
63	311	4553
64	314	4518
65	316	4481
66	319	4450
67	322	4414
68	325	4387
69	327	4354
70	330	4328
71	333	4301
72	335	4263
73	337	4223
74	339	4181
75	341	4156
76	344	4134
77	347	4109
78	350	4082
79	352	4057
80	354	4022
81	356	3996
82	359	3971
83	362	3949
84	364	3929
85	367	3910
86	371	3893
87	372	3861
88	375	3842
89	378	3825
90	381	3808
91	384	3792
92	386	3765
93	388	3748
94	390	3717
95	392	3699
96	395	3685
97	399	3673
98	401	3651
99	402	3625
100	405	3612
101	408	3594
102	411	3579
103	414	3567
104	415	3543
105	418	3528
106	420	3513
107	424	3502
108	427	3492
109	430	3482
110	433	3470
111	436	3458
112	439	3446
113	442	3437
114	445	3428
115	448	3419
116	449	3395
117	452	3381
118	455	3369
119	458	3360
120	459	3340
121	462	3331
122	465	3319
123	468	3308
124	471	3298
125	474	3290
126	477	3284
127	480	3272
128	482	3256
129	485	3249
130	487	3235
131	490	3227
132	493	3216
133	496	3211
134	499	3203
135	502	3194
136	506	3189
137	509	3184
138	512	3175
139	514	3163
140	517	3154
141	521	3150
142	524	3142
143	527	3134
144	529	3124
145	535	3130
146	538	3122
147	541	3115
148	544	3110
149	547	3102
150	550	3095
151	553	3089
152	557	3085
153	560	3076
154	563	3073
155	566	3067
156	569	3060
157	573	3055
158	577	3054
159	580	3048
160	583	3042
161	587	3037
162	590	3029
163	592	3022
164	594	3010
165	598	3005
166	602	3005
167	606	3001
168	610	2999
169	613	2996
170	617	2994
171	621	2992
172	625	2988
173	627	2978
174	631	2975
175	634	2969
176	637	2965
177	640	2958
178	644	2958
179	649	2958
180	653	2956
181	655	2946
182	659	2944
183	664	2945
184	667	2941
185	673	2948
186	678	2950
187	684	2957
188	688	2954
189	693	2958
190	699	2962
191	704	2965
192	712	2977
193	716	2976
194	721	2978
195	725	2977
196	733	2988
197	738	2989
198	745	3000
199	754	3016
200	761	3026
201	765	3025
202	771	3027
203	780	3045
204	786	3049
205	794	3061
206	801	3071
207	809	3083
208	816	3088
209	821	3089
210	827	3096
211	833	3098
212	839	3102
213	843	3098
214	849	3102
215	854	3101
216	858	3097
217	864	3099
218	868	3096
219	875	3103
220	879	3098
221	883	3094
222	888	3095
223	895	3101
224	903	3110
225	907	3108
226	914	3113
227	920	3117
228	928	3124
229	933	3124
230	937	3122
231	940	3114
232	946	3116
233	950	3111
234	952	3101
235	957	3099
236	960	3093
237	965	3092
238	970	3088
239	974	3086
240	978	3083
241	983	3081
242	989	3081
243	994	3081
244	998	3077
245	1003	3075
246	1008	3073
247	1015	3077
248	1019	3075
249	1023	3070
250	1027	3066
251	1031	3061
252	1036	3060
253	1039	3053
254	1045	3053
255	1048	3048
256	1053	3045
257	1057	3041
258	1063	3042
259	1069	3045
260	1074	3043
261	1079	3040
262	1086	3045
263	1091	3043
264	1094	3036
265	1100	3037
266	1107	3040
267	1112	3038
268	1117	3037
269	1121	3032
270	1125	3028
271	1131	3029
272	1137	3029
273	1140	3021
274	1146	3022
275	1152	3021
276	1159	3025
277	1163	3022
278	1170	3025
279	1176	3025
280	1181	3022
281	1187	3023
282	1191	3019
283	1197	3018
284	1202	3018
285	1207	3014
286	1211	3010
287	1217	3008
288	1222	3006
289	1227	3006
290	1232	3002
291	1236	2999
292	1242	2998
293	1247	2996
294	1252	2993
295	1259	2995
296	1266	2997
297	1276	3005
298	1283	3009
299	1292	3016
300	1301	3021
301	1307	3022
302	1313	3020
303	1318	3018
304	1325	3019
305	1330	3016
306	1337	3018
307	1343	3017
308	1347	3014
309	1352	3011
310	1357	3007
311	1362	3004
312	1366	2998
313	1371	2997
314	1376	2993
315	1380	2988
316	1383	2981
317	1387	2976
318	1392	2973
319	1397	2969
320	1400	2962
321	1404	2957
322	1407	2949
323	1411	2944
324	1414	2937
325	1419	2934
326	1424	2931
327	1429	2929
328	1435	2927
329	1441	2926
330	1446	2923
331	1451	2919
332	1455	2915
333	1459	2910
334	1463	2905
335	1468	2901
336	1472	2896
337	1476	2891
338	1480	2887
339	1485	2883
340	1490	2880
341	1495	2878
342	1500	2873
343	1503	2867
344	1506	2860
345	1511	2856
346	1516	2853
347	1518	2844
348	1522	2840
349	1526	2835
350	1531	2831
351	1534	2825
352	1539	2821
353	1542	2814
354	1546	2810
355	1550	2804
356	1554	2799
357	1558	2794
358	1562	2789
359	1566	2784
360	1570	2779
361	1573	2773
362	1579	2771
363	1583	2766
364	1587	2761
365	1593	2760
366	1598	2757
367	1603	2754
368	1608	2750
369	1612	2745
370	1617	2741
371	1620	2736
372	1622	2727
373	1625	2721
374	1630	2717
375	1633	2711
376	1637	2705
377	1640	2700
378	1644	2694
379	1649	2691
380	1652	2685
381	1657	2680
382	1660	2675
383	1664	2670
384	1668	2665
385	1673	2661
386	1677	2656
387	1681	2652
388	1685	2647
389	1689	2643
390	1694	2639
391	1699	2635
392	1703	2630
393	1707	2626
394	1710	2620
395	1714	2614
396	1717	2608
397	1720	2603
398	1724	2597
399	1728	2592
400	1731	2586
401	1735	2582
402	1739	2576
403	1743	2571
404	1747	2567
405	1751	2563
406	1755	2557
407	1759	2553
408	1764	2549
409	1767	2543
410	1771	2539
411	1776	2534
412	1780	2530
413	1784	2525
414	1788	2520
415	1792	2516
416	1796	2511
417	1799	2506
418	1803	2500
419	1807	2496
420	1811	2491
